County,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Bell,59,57,2,0,0,0,0,74,46,37,0,0,59,0,0,0
Bexar,90,75,14,0,1,0,0,156,61,42,0,3,48,0,39,0
Bowie,90,83,7,0,0,0,0,60,49,29,0,0,0,0,90,0
Brazoria,31,31,0,0,0,0,0,46,42,37,0,1,30,0,0,0
Brewster,87,80,7,0,0,0,0,67,50,41,0,0,87,0,0,0
Cameron,59,58,1,0,0,0,0,54,44,33,0,0,59,0,0,0
Collin,59,58,1,0,0,0,0,67,43,31,0,0,59,0,0,0
Dallas,59,57,2,0,0,0,0,67,44,34,0,19,40,0,0,0
Denton,59,52,7,0,0,0,0,77,53,37,0,1,40,0,18,0
Ector,47,47,0,0,0,0,0,45,36,15,0,0,0,0,47,0
El Paso,90,63,25,1,1,0,0,154,67,45,0,24,41,0,25,0
Ellis,59,48,11,0,0,0,0,75,54,38,0,3,28,0,28,0
Fayette,59,55,4,0,0,0,0,55,45,22,0,0,0,0,59,0
Galveston,31,30,1,0,0,0,0,51,45,34,0,0,27,0,4,0
Gregg,90,88,2,0,0,0,0,74,44,35,0,3,86,1,0,0
Harris,90,72,18,0,0,0,0,66,55,41,0,15,33,0,42,0
Harrison,90,81,9,0,0,0,0,94,51,38,0,0,55,0,35,0
Hidalgo,59,46,13,0,0,0,0,77,60,37,0,0,39,0,20,0
Hood,59,59,0,0,0,0,0,47,42,32,0,0,59,0,0,0
Howard,59,44,13,2,0,0,0,111,74,24,0,0,0,59,0,0
Hunt,59,58,1,0,0,0,0,58,42,33,0,0,59,0,0,0
Hutchinson,47,40,3,4,0,0,0,116,82,3,0,0,0,47,0,0
Jefferson,90,60,28,2,0,0,0,106,76,43,0,0,46,25,19,0
Johnson,57,55,2,0,0,0,0,87,45,38,0,0,57,0,0,0
Kaufman,59,53,6,0,0,0,0,62,54,36,0,0,38,0,21,0
Kleberg,55,45,10,0,0,0,0,64,55,35,0,0,0,0,55,0
Lubbock,58,56,2,0,0,0,0,71,28,16,0,0,0,0,58,0
Maverick,52,44,8,0,0,0,0,79,55,28,0,0,0,0,52,0
McLennan,59,56,3,0,0,0,0,58,45,34,0,2,45,0,12,0
Milam,57,57,0,0,0,0,0,21,6,0,0,0,0,57,0,0
Montgomery,31,30,1,0,0,0,0,64,45,36,0,0,27,0,4,0
Navarro,59,47,11,1,0,0,0,121,58,39,0,0,34,8,17,0
Nueces,59,45,14,0,0,0,0,80,60,43,0,0,31,0,28,0
Orange,90,75,15,0,0,0,0,96,55,36,0,0,45,14,31,0
Parker,59,59,0,0,0,0,0,46,40,32,0,0,59,0,0,0
Polk,59,59,0,0,0,0,0,50,44,32,0,0,59,0,0,0
Potter,59,52,5,2,0,0,0,110,67,15,0,0,0,13,46,0
Randall,58,58,0,0,0,0,0,46,44,38,0,0,58,0,0,0
Robertson,59,59,0,0,0,0,0,14,7,1,0,0,0,59,0,0
Rockwall,53,53,0,0,0,0,0,49,41,30,0,0,53,0,0,0
Smith,90,86,4,0,0,0,0,90,45,36,0,5,85,0,0,0
Tarrant,59,51,8,0,0,0,0,74,54,40,0,8,29,0,22,0
Titus,90,90,0,0,0,0,0,47,13,0,0,0,0,90,0,0
Travis,59,51,8,0,0,0,0,75,58,40,0,7,31,0,21,0
Victoria,58,57,1,0,0,0,0,51,44,35,0,0,58,0,0,0
Webb,59,47,12,0,0,0,0,87,59,38,0,0,15,0,44,0
